
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-07-01 12:22:20 /api/chat/unread-summary ............................................................. ~ 1.72ms
  2026-07-01 12:22:20 /api/leave-requests .................................................................. ~ 1.44ms
  2026-07-01 12:22:20 /api/attendance-time-edit-requests ................................................... ~ 1.69ms
  2026-07-01 12:22:21 /api/notifications ................................................................... ~ 1.52ms
  2026-07-01 12:22:21 /api/chat/unread-summary ............................................................. ~ 1.67ms
  2026-07-01 12:22:28 /api/leave-requests .................................................................. ~ 1.17ms
  2026-07-01 12:22:28 /api/attendance-time-edit-requests ................................................... ~ 0.09ms
  2026-07-01 12:22:28 /api/notifications ................................................................... ~ 1.16ms
  2026-07-01 12:22:28 /api/chat/unread-summary ............................................................. ~ 1.58ms
  2026-07-01 12:22:28 /api/leave-requests .................................................................. ~ 2.04ms
  2026-07-01 12:22:28 /api/attendance-time-edit-requests ................................................... ~ 2.05ms
  2026-07-01 12:22:29 /api/notifications ................................................................... ~ 1.14ms
  2026-07-01 12:22:29 /api/chat/unread-summary ............................................................. ~ 1.67ms
  2026-07-01 12:23:02 /api/leave-requests .................................................................. ~ 0.41ms
  2026-07-01 12:23:02 /api/attendance-time-edit-requests ................................................... ~ 0.12ms
  2026-07-01 12:23:02 /api/notifications ................................................................... ~ 1.34ms
  2026-07-01 12:23:02 /api/chat/unread-summary ............................................................. ~ 1.65ms
  2026-07-01 12:23:02 /api/leave-requests .................................................................. ~ 2.07ms
  2026-07-01 12:23:02 /api/attendance-time-edit-requests ................................................. ~ 508.11ms
  2026-07-01 12:23:03 /api/notifications ................................................................. ~ 507.48ms
  2026-07-01 12:23:03 /api/chat/unread-summary ............................................................. ~ 1.90ms
  2026-07-01 12:24:02 /api/leave-requests .................................................................. ~ 1.03ms
  2026-07-01 12:24:02 /api/attendance-time-edit-requests ................................................... ~ 0.12ms
  2026-07-01 12:24:02 /api/notifications ................................................................... ~ 1.76ms
  2026-07-01 12:24:02 /api/chat/unread-summary ............................................................. ~ 2.03ms
  2026-07-01 12:24:02 /api/leave-requests .................................................................. ~ 1.76ms
  2026-07-01 12:24:02 /api/attendance-time-edit-requests ................................................... ~ 2.22ms
  2026-07-01 12:24:03 /api/notifications ................................................................... ~ 1.55ms
  2026-07-01 12:24:03 /api/chat/unread-summary ............................................................. ~ 1.94ms
  2026-07-01 12:24:12 /api/employees/emp-003/workspace ..................................................... ~ 1.50ms
  2026-07-01 12:24:12 /api/leave-requests .................................................................. ~ 0.12ms
  2026-07-01 12:24:12 /api/attendance-time-edit-requests ................................................... ~ 2.87ms
  2026-07-01 12:24:12 /api/notifications ................................................................... ~ 3.92ms
  2026-07-01 12:24:12 /api/chat/unread-summary ............................................................. ~ 2.62ms
  2026-07-01 12:24:12 /api/employees/emp-003/workspace ..................................................... ~ 2.35ms
  2026-07-01 12:24:12 /api/leave-requests .................................................................. ~ 1.35ms
